domain,k_identity_dims,label,n,cv_corr,in_sample_corr
blood_pressure,10,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse2_left,109,0.12505236893363175,0.34675204997648884
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_systole,109,0.45460359766106795,0.674240883722137
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_systole,110,0.40687491129964887,0.6045117591487946
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_diastole,107,0.4014029050989544,0.6266097489596472
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_left_diastole,110,0.37634846849220893,0.5801299461600686
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP1_right_systole,107,0.34545219387412535,0.5703093764912844
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP2_left_diastole,109,0.30477752915593687,0.579884780847588
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_diastole,80,0.29614018136371495,0.5438840599851171
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_right,106,0.2383171887719914,0.5115576356442803
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse1_left,108,0.21195599265753076,0.49669936920508345
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__BP3_left_systole,80,0.15917038066076544,0.5313051492871269
blood_pressure,20,Medical_LEMON__Blood_Pressure__Blood_Pressure_LEMON__pulse2_left,109,0.12651824116621765,0.45924386764010083
body_size,3,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Waist_cm,110,0.5132742657318943,0.5554648247913779
body_size,3,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Hip_cm,110,0.3804416239701431,0.4403526168025318
body_size,3,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Weight_kg,110,0.31440200884649255,0.3914337021359759
body_size,3,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Height_cm,110,-0.06551237723666688,0.1155152383176937
body_size,6,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Waist_cm,110,0.49407629942313674,0.5657770830649762
body_size,6,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Weight_kg,110,0.3185935654153642,0.42499777594578136
body_size,6,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Hip_cm,110,0.30792807755406615,0.4509223214154329
body_size,6,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Height_cm,110,-0.0005230507591758014,0.23678897696620785
body_size,10,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Waist_cm,110,0.47862924160688447,0.597071708486819
body_size,10,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Hip_cm,110,0.2855901477242557,0.49351128074324935
body_size,10,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Weight_kg,110,0.2746115067951195,0.4379527310725184
body_size,10,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Height_cm,110,-0.058654576249092774,0.27739694935532533
body_size,20,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Waist_cm,110,0.5031451780637216,0.7106474076255958
body_size,20,Medical_LEMON__Anthropometry__Anthropometry_LEMON__Hip_cm,110,0.24564282902725124,0.5743209509135153
